Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Vehicles,Vehicles Per Day,Avg Hours Per Day Per Vehicle,Avg Minutes Per Trip
2015-08,Green,49429,678711,6404,4911,6.4,12.8
2015-08,Yellow,359029,5200177,13442,12579,13.1,16.1
2015-07,FHV - High Volume,112207,-,22646,13358,5.5,0
2015-07,Green,49730,681299,6473,4981,6.3,13
2015-07,Yellow,372979,5392570,13490,12599,13.1,15.7
2015-06,FHV - High Volume,102793,-,19840,12089,5.6,0
2015-06,Green,54628,801215,6539,5196,6.5,13.3
2015-06,Yellow,410831,6014938,13549,12990,13.8,16.9
2015-05,FHV - High Volume,94103,-,14122,8120,5.4,0
2015-05,Green,57637,862099,6508,5177,6.8,13.6
2015-05,Yellow,424459,6239552,13580,13006,14.1,16.4
2015-04,FHV - High Volume,82498,-,16006,9711,5.6,0
2015-04,Green,55473,805698,6378,5032,6.7,13
2015-04,Yellow,435701,6226205,13577,13098,14.2,16.9
2015-03,FHV - High Volume,72889,-,14290,8579,5.5,0
2015-03,Green,55567,793672,6221,4835,6.7,13
2015-03,Yellow,430669,6076181,13584,13030,14,16.8
2015-02,FHV - High Volume,77796,-,13531,8402,5.8,0
2015-02,Green,56242,798649,5984,4723,6.9,12.9
2015-02,Yellow,444633,6097785,13617,12979,14.1,15.8
2015-01,FHV - High Volume,60357,-,12544,7265,5.4,0
2015-01,Green,48659,673523,5897,4498,6.6,12.1
2015-01,Yellow,411238,5442278,13633,12721,13.4,15
